complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier,cumulative_request_count,cumulative_workload_share
NOISE - VEHICLE,9231,9226,1.7044858130404412,0.6469444444444444,3.6862500000000002,0.9963147626273575,0.9984825493171472,0.003685237372642532,0.0015174506828528073,0.5882352941176471,0.019471438304586367,0.1290074418312557,0.0015305234852895778,3.754305850939967e-05,0.6363890621856721,0.14107762962607906,50,Monitor,283294,0.5975670721546409
NOISE - COMMERCIAL,9064,9062,2.454106923906913,0.6493055555555556,3.1277777777777778,0.9984550871772235,0.999448245420437,0.001544912822776429,0.0005517545795630103,0.7220873786407767,0.019119176339808343,0.12638553081922943,0.0005565079324684571,8.874487695436301e-05,0.7970176088994381,0.16397227847677742,46,Moderate,292358,0.6166862484944492
ABANDONED VEHICLE,8934,8932,3.87379008682888,1.446388888888889,7.500916666666668,0.9849977608598298,0.9960815047021944,0.015002239140170175,0.003918495297805642,0.37586747257667336,0.018844960439082938,0.12434452224699344,0.003952253043909998,0.00018571434393386223,0.3815380849713396,0.10197411431410841,60,Monitor,301292,0.6355312089335322
PAINT/PLASTER,8340,8049,458.3726019105203,188.15,1056.2653333333333,0.04559572617716486,0.1380295688905454,0.9544042738228351,0.8619704311094546,0.5129496402877698,0.017592004708076082,0.11501868307846894,0.8693962863807753,0.03122961813627708,0.5460428773939128,0.389227780228039,10,Critical,309632,0.6531232136416083
NOISE,7640,7540,101.17200486295313,54.61666666666667,199.2616666666667,0.2786472148541114,0.4576923076923077,0.7213527851458886,0.5423076923076923,0.37905759162303665,0.01611545755032389,0.10402863692027506,0.5469796604985472,0.006831532418918101,0.3853663719052849,0.25967518334123674,29,High,317272,0.6692386711919321
DOOR/WINDOW,6209,5937,639.7701990810922,287.57194444444445,1583.5257222222267,0.021728145528044467,0.06855314131716356,0.9782718544719555,0.9314468586828365,0.4113383797712997,0.013096973289261916,0.08156184255973875,0.9394712517662539,0.043619726555108214,0.424104775610417,0.38272768207836894,12,Critical,323481,0.6823356444811941
DERELICT VEHICLES,6202,6197,34.8599564305309,22.166666666666668,74.7266666666667,0.5852832015491367,0.7986122317250283,0.41471679845086334,0.20138776827497176,0.2702354079329249,0.013082207817684394,0.08145194209815682,0.20312271922763886,0.0023021809701229317,0.2547748366397985,0.1281216571926409,51,Monitor,329683,0.6954178522988784
DIRTY CONDITION,5976,5892,91.62976818850417,28.23111111111111,193.39180555555558,0.4226069246435845,0.6568228105906314,0.5773930753564155,0.34317718940936864,0.3100736278447122,0.012605494021038688,0.07790372719565422,0.3461336529364209,0.006179763328264735,0.30258249978446955,0.1777297280327286,43,Moderate,335659,0.7080233463199171
STREET LIGHT CONDITION,5659,4728,715.5898688663283,44.09166666666667,1128.093333333334,0.4335871404399323,0.5131133671742809,0.5664128595600677,0.48688663282571915,0.13094186251987983,0.011936829093885196,0.07292680629258642,0.49108114987458223,0.04879848274356918,0.08761629110038198,0.19575086737855105,39,Moderate,341318,0.7199601754138023
WATER LEAK,5652,5431,630.0104240573662,270.2736111111111,1576.755,0.02651445406002578,0.08451482231633217,0.9734855459399743,0.9154851776836679,0.3182944090587403,0.011922063622307674,0.07281690583100449,0.9233720612554954,0.04295309881265991,0.3124478085240804,0.35795532645864425,14,Critical,346970,0.73188223903611
MISSED COLLECTION,5586,5556,145.23886819054474,82.825,332.2086111111111,0.08837293016558675,0.27177825773938086,0.9116270698344132,0.7282217422606192,0.16774078052273542,0.011782846318862467,0.07178070147894622,0.7344953556796968,0.009841457703613382,0.13177665468752,0.2672066419653909,28,High,352556,0.7436650853549724
RODENT,5423,5117,96.62010406488177,0.0,167.00005555555555,0.7649013093609537,0.8106312292358804,0.23509869063904631,0.1893687707641196,0.290982850820579,0.011439021766414459,0.06922159073068107,0.19100017833200134,0.006520621220095355,0.2796727051410161,0.12478264027051027,53,Monitor,357979,0.755104107121387
