borough,incident_zip,complaint_type,request_count,avg_response_hours,repeat_proxy_rate,delay_48h_rate,volume_score,delay_score,response_score,repeat_score,hotspot_priority_score,hotspot_rank,hotspot_label
BRONX,10451,UNSANITARY CONDITION,174,513.239998403576,0.6839080459770115,0.9540229885057472,0.007489878542510121,0.9540229885057472,0.03184902693151999,0.6535145888594165,0.37698197035505215,23,BRONX | 10451 | UNSANITARY CONDITION
BRONX,10472,UNSANITARY CONDITION,196,501.3883262471656,0.6683673469387755,0.9642857142857144,0.009716599190283401,0.9642857142857144,0.031113142677739302,0.6364795918367347,0.37692095801654985,24,BRONX | 10472 | UNSANITARY CONDITION
BRONX,10459,UNSANITARY CONDITION,232,647.1811470306513,0.6724137931034483,0.9439655172413792,0.013360323886639677,0.9439655172413792,0.04016559027441086,0.6409151193633953,0.3755433712788414,25,BRONX | 10459 | UNSANITARY CONDITION
BROOKLYN,11210,UNSANITARY CONDITION,145,478.0874865900383,0.6896551724137931,0.9448275862068966,0.004554655870445344,0.9448275862068966,0.02966636615732449,0.6598143236074271,0.3744415785449864,26,BROOKLYN | 11210 | UNSANITARY CONDITION
MANHATTAN,10032,UNSANITARY CONDITION,196,763.8908446712018,0.6836734693877551,0.9285714285714286,0.009716599190283401,0.9285714285714286,0.047412232572960435,0.6532574568288854,0.37379282307069167,27,MANHATTAN | 10032 | UNSANITARY CONDITION
MANHATTAN,10040,UNSANITARY CONDITION,158,829.8898962728551,0.689873417721519,0.9240506329113924,0.005870445344129555,0.9240506329113924,0.05151019125736819,0.6600535540408958,0.37309807586228433,28,MANHATTAN | 10040 | UNSANITARY CONDITION
MANHATTAN,10025,UNSANITARY CONDITION,162,890.0425411522633,0.6419753086419753,0.9629629629629628,0.006275303643724696,0.9629629629629628,0.055245139676952625,0.6075498575498576,0.373047604659745,29,MANHATTAN | 10025 | UNSANITARY CONDITION
BRONX,10463,UNSANITARY CONDITION,146,431.0153919330289,0.6575342465753424,0.958904109589041,0.00465587044534413,0.958904109589041,0.02674360447497142,0.6246048472075869,0.370520885688161,30,BRONX | 10463 | UNSANITARY CONDITION
BRONX,10460,UNSANITARY CONDITION,280,482.3184126984127,0.6678571428571428,0.925,0.018218623481781375,0.925,0.02992906933211475,0.6359203296703296,0.3702108757265957,31,BRONX | 10460 | UNSANITARY CONDITION
MANHATTAN,10027,UNSANITARY CONDITION,168,811.9247056878306,0.625,0.9642857142857144,0.006882591093117409,0.9642857142857144,0.05039471145897216,0.5889423076923077,0.3691721332659829,32,MANHATTAN | 10027 | UNSANITARY CONDITION
BRONX,10457,UNSANITARY CONDITION,391,501.7290586814436,0.6572890025575447,0.90537084398977,0.02945344129554656,0.90537084398977,0.03113429915505562,0.6243360220342318,0.3676614367957658,33,BRONX | 10457 | UNSANITARY CONDITION
BROOKLYN,11225,UNSANITARY CONDITION,211,482.5425566087415,0.6208530805687204,0.962085308056872,0.011234817813765181,0.962085308056872,0.029942986690949434,0.5843966460080204,0.3663860313449706,34,BROOKLYN | 11225 | UNSANITARY CONDITION
MANHATTAN,10033,UNSANITARY CONDITION,164,910.6496663279132,0.6219512195121951,0.951219512195122,0.006477732793522267,0.951219512195122,0.0565246602992174,0.5856003752345216,0.3659947452579764,35,MANHATTAN | 10033 | UNSANITARY CONDITION
MANHATTAN,10034,UNSANITARY CONDITION,126,787.0618783068783,0.6666666666666666,0.9206349206349206,0.002631578947368421,0.9206349206349206,0.048850949284938855,0.6346153846153846,0.36546208105349526,36,MANHATTAN | 10034 | UNSANITARY CONDITION
MANHATTAN,10003,FOR HIRE VEHICLE COMPLAINT,129,1714.2266688199827,0.5271317829457365,0.992248062015504,0.0029352226720647774,0.992248062015504,0.10641970084962185,0.4816636851520573,0.36153179673055663,37,MANHATTAN | 10003 | FOR HIRE VEHICLE COMPLAINT
BRONX,10468,PAINT/PLASTER,266,387.32935881370094,0.6691729323308271,0.8796992481203008,0.01680161943319838,0.8796992481203008,0.024031087333222217,0.6373626373626374,0.35772265037586537,38,BRONX | 10468 | PAINT/PLASTER
BROOKLYN,11230,UNSANITARY CONDITION,172,644.1595251937985,0.5930232558139535,0.9418604651162792,0.0072874493927125505,0.9418604651162792,0.03997797422316722,0.5538908765652952,0.35515496748268893,39,BROOKLYN | 11230 | UNSANITARY CONDITION
BRONX,10461,UNSANITARY CONDITION,104,471.1960042735043,0.625,0.9230769230769232,0.0004048582995951417,0.9230769230769232,0.029238465920546308,0.5889423076923077,0.35310540551561237,40,BRONX | 10461 | UNSANITARY CONDITION
BRONX,10453,PLUMBING,260,479.59063888888886,0.6615384615384615,0.8653846153846154,0.016194331983805668,0.8653846153846154,0.029759698650255465,0.6289940828402367,0.3530866580052618,41,BRONX | 10453 | PLUMBING
BROOKLYN,11225,PAINT/PLASTER,149,474.7031021625653,0.6644295302013423,0.8791946308724832,0.004959514170040486,0.8791946308724832,0.029456225750464617,0.6321631388745483,0.35263352502361633,42,BROOKLYN | 11225 | PAINT/PLASTER
