borough,complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
BROOKLYN,GENERAL,1240,1184,648.347540822072,273.60291666666666,1559.6791111111115,0.044763513513513514,0.09375,0.9552364864864865,0.90625,0.3088709677419355,0.0028163000177154358,0.030687431968517122,0.9116983967935872,0.03551940627012347,0.2933293595836892,0.3353534054186352,48,High
MANHATTAN,TAXI COMPLAINT,524,358,2189.0037562073244,1911.9618055555557,4158.462750000001,0.002793296089385475,0.01675977653631285,0.9972067039106145,0.9832402234636871,0.1183206106870229,0.0011901138784539422,0.0007117139747132212,0.9891514873322063,0.12000976383820021,0.08673517902045218,0.3340067757115194,49,High
QUEENS,HEAT/HOT WATER,5377,5334,53.215184039495064,46.42194444444445,101.63327777777775,0.21991001124859394,0.5194975628046494,0.7800899887514061,0.4805024371953506,0.739259810303143,0.012212294512303143,0.2038851209913757,0.4833912294029378,0.002882050108016581,0.7599557759638433,0.33094693758404264,50,High
BROOKLYN,DAMAGED TREE,1735,1508,2040.2775390509871,263.12152777777777,4198.554972222222,0.1213527851458886,0.1870026525198939,0.8786472148541115,0.8129973474801061,0.3152737752161383,0.0039405488151099035,0.05141086829104915,0.8178851070841949,0.11185354368875944,0.3002712660900932,0.3307707346783915,51,High
MANHATTAN,ELEVATOR,668,661,842.6095230290805,536.2705555555556,2004.1697222222222,0.11043872919818457,0.15431164901664146,0.8895612708018155,0.8456883509833586,0.4296407185628742,0.0015171680740596056,0.006740349995813447,0.8507726496866653,0.04617283055430049,0.4242675960336372,0.33046562292043996,52,High
BROOKLYN,APPLIANCE,931,891,735.5976636737747,314.495,2026.2652777777778,0.015712682379349047,0.058361391694725026,0.9842873176206509,0.941638608305275,0.22986036519871106,0.0021144962229782825,0.017750983839906222,0.9472997622630221,0.040304246654359104,0.20766627849315583,0.329613564127719,53,High
MANHATTAN,ELECTRIC,693,661,651.3664414187258,214.9661111111111,1549.9072222222221,0.04236006051437216,0.12405446293494705,0.9576399394856279,0.875945537065053,0.3722943722943723,0.0015739483163522555,0.007786988193921126,0.8812117426987106,0.035684964289055016,0.36209284286735144,0.32853988796539924,54,High
BRONX,ELECTRIC,1394,1344,481.753597676918,196.47916666666666,1181.9463333333342,0.06324404761904762,0.16592261904761904,0.9367559523809523,0.8340773809523809,0.38952654232424677,0.003166066310238159,0.03713472326886042,0.8390918742246397,0.026383311089090367,0.3807759148997085,0.3271177648642674,55,High
QUEENS,DOOR/WINDOW,720,693,526.2249779541446,242.58833333333334,1257.1533888888916,0.03751803751803752,0.11255411255411256,0.9624819624819625,0.8874458874458875,0.3263888888888889,0.0016352709780283175,0.008917357447877418,0.8927812334625962,0.028822143830390293,0.31232224220255145,0.3235682102419967,56,High
QUEENS,PLUMBING,1274,1225,507.621943537415,167.87166666666667,1364.0027777777807,0.0636734693877551,0.18448979591836734,0.9363265306122449,0.8155102040816327,0.40345368916797486,0.0028935211472334394,0.03211085991794357,0.8204130710400392,0.027801944116771716,0.39587568975310705,0.3223044645696125,57,High
